NOALLOC [0x000001C816994AB0] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.h : 93
LEAK [0x000001C8169821B0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C816982210] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C816998CE0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C816998DA0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.h : 74
LEAK [0x000001C816998E60] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C816998EF0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C816999010] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C816999040] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169990D0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD810] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD840] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD870] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD8A0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD8D0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD900] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD930] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD960] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD990] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD9C0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169AD9F0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADA20] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADA50] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADA80] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADAB0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADB10] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADB40] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADB70] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADBA0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADBD0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADC00] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADC30] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADC60] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADC90] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADCC0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADCF0] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADD20] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADD50] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
LEAK [0x000001C8169ADD80] [00000040] E:\Procademy\PROCADEMEY\course1\WindowsMazeProject\WindowsMazeProject\AStar.cpp : 54
