-------------------------------------------------------------------------------------------------------------------------
 		Name		 | 	Average		 | 	 Min		 | 	 Max		 | 	 Call		 |
-------------------------------------------------------------------------------------------------------------------------
	 ConsoleBufferClear_0 		| 	1.6030us		| 	1.0000us		| 	31.5000us		 | 	1210		
	 ConsoleBufferFlip_0 		| 	6360.9370us		| 	3089.2000us		| 	486051.3000us		 | 	1370		
	 ConsoleMoveCursor_0 		| 	55.2937us		| 	16.5000us		| 	28563.9000us		 | 	57704		
	 ConsoleSpriteDraw_0 		| 	0.7895us		| 	0.5000us		| 	1820.5000us		 | 	145100		
	 EnemyAttack_0 		| 	12.7763us		| 	1.8000us		| 	2965.6000us		 | 	1268		
	 EnemyClearCheck_0 		| 	0.8303us		| 	0.5000us		| 	39.6000us		 | 	1268		
	 EnemyMove_0 		| 	1.2621us		| 	0.7000us		| 	602.7000us		 | 	1268		
	 EnemyRender_0 		| 	102.7676us		| 	72.6000us		| 	2125.3000us		 | 	1210		
	 EnemyUpdate_0 		| 	37.5058us		| 	18.0000us		| 	2999.4000us		 | 	1268		
	 GameMain_0 		| 	20602.3566us		| 	6444.1000us		| 	491798.5000us		 | 	1370		
	 MissileCollision_0 		| 	47.0544us		| 	7.3000us		| 	1990.5000us		 | 	1268		
	 MissileEnemyCreate_0 		| 	0.9393us		| 	0.6000us		| 	25.2000us		 | 	1556		
	 MissileMove_0 		| 	87.3663us		| 	23.1000us		| 	4628.8000us		 | 	1268		
	 MissilePlayerDefualtCreate_0 		| 	1.0857us		| 	0.7000us		| 	2.1000us		 | 	14		
	 MissileRender_0 		| 	613.2227us		| 	96.9000us		| 	27059.3000us		 | 	1210		
	 MissileUpdate_0 		| 	156.5145us		| 	63.4000us		| 	4714.7000us		 | 	1268		
	 PlayerAttack_0 		| 	1.1688us		| 	0.6000us		| 	146.3000us		 | 	1268		
	 PlayerGetDamage_0 		| 	0.6250us		| 	0.6000us		| 	0.8000us		 | 	4		
	 PlayerMove_0 		| 	1.0005us		| 	0.7000us		| 	34.5000us		 | 	1268		
	 PlayerRender_0 		| 	93.4656us		| 	68.6000us		| 	1396.4000us		 | 	1210		
	 PlayerUpdate_0 		| 	16.9699us		| 	11.3000us		| 	773.6000us		 | 	1268		
-------------------------------------------------------------------------------------------------------------------------
